subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,loss
32,4,16,32,16,8,256,0.0001,0.799041748046875,False,Not Completed,NA
128,32,256,8,128,8,32,0.0001,5.901824951171875,False,Not Completed,NA
128,4,16,64,128,8,32,0.001,12.194549560546875,False,Not Completed,NA
32,2,32,256,32,16,128,5e-05,73.41525268554688,False,Not Completed,NA
64,8,64,64,32,16,64,1e-05,10.647674560546875,False,Not Completed,NA
128,64,8,256,128,8,128,5e-05,276.9933776855469,False,Not Completed,NA
128,8,32,128,32,16,16,5e-05,20.778533935546875,False,Not Completed,NA
128,64,128,256,32,32,64,0.0001,531.0636901855469,False,Not Completed,NA
64,8,128,64,8,16,256,0.001,17.967987060546875,False,Not Completed,NA
128,32,8,32,64,32,128,0.0001,4.580291748046875,False,Not Completed,NA
64,16,16,128,256,16,8,0.001,18.438690185546875,False,Not Completed,NA
32,8,16,16,32,8,64,1e-05,0.326873779296875,False,Not Completed,NA
32,4,256,32,128,32,128,0.001,24.933807373046875,False,Not Completed,NA
32,2,64,64,256,32,16,0.001,25.497283935546875,False,Not Completed,NA
64,4,256,32,64,16,16,0.001,17.232635498046875,False,Not Completed,NA
128,4,16,16,32,16,8,0.001,2.292205810546875,False,Not Completed,NA
64,2,64,32,64,32,64,1e-05,8.216033935546875,False,Not Completed,NA
128,4,8,128,64,16,256,0.001,21.462127685546875,False,Not Completed,NA
128,32,256,128,256,64,32,0.001,275.0285339355469,False,Not Completed,NA
32,16,16,32,32,8,8,5e-05,1.326385498046875,False,Not Completed,NA
64,2,16,32,128,16,32,1e-05,5.591033935546875,False,Not Completed,NA
32,4,16,32,256,16,128,0.0001,2.687713623046875,False,Not Completed,NA
128,8,32,32,8,32,256,1e-05,1.826385498046875,False,Not Completed,NA
128,16,64,256,256,8,32,5e-05,198.49337768554688,False,Not Completed,NA
64,4,8,32,32,16,8,1e-05,0.938690185546875,False,Not Completed,NA
32,4,32,128,32,8,32,0.0001,18.817596435546875,False,Not Completed,NA
64,8,256,256,256,64,16,0.0001,774.7277526855469,False,Not Completed,NA
128,32,64,16,64,8,16,1e-05,3.622772216796875,True,Completed,1798.3397937985137
32,4,256,32,128,16,8,0.0001,24.919158935546875,False,Not Completed,NA
